link,description
https://docs.google.com/uc?export=download&id=1Jk0OiPVwYeBCQstweYU1ZBOdtEvK6NFH, Shilloite New York Image
https://docs.google.com/uc?export=download&id=1CNkdtv6QsTt8zQbY8hz20HcolbLlqaag, Privateer Place
https://docs.google.com/uc?export=download&id=1sBstJg6GXw2gy7Zy_-1ckHneu4a5JXK1, Temples and Nepal
https://docs.google.com/uc?export=download&id=1UnPrOvt3UBtgP9qZbU3-ikG3v7FTbolF, Beautiful Bhaktapur
https://docs.google.com/uc?export=download&id=1sv29I_yqfFMgx9wHzA-6i1lQYbep3aL6, Naytapole Temple
https://docs.google.com/uc?export=download&id=1sprIqD76eBYEUI0bRW1j7W-ysFDisRVJ, Ponchartrain Lake
https://docs.google.com/uc?export=download&id=1cWrs7NKL6wbxI57L7CP1MQ1F9bMljikS, Fish Tail Mountain
https://docs.google.com/uc?export=download&id=1z3CimA3EWUXVLZD6OBE2kIc2B5sluMaW, Trekking in Nepal
https://docs.google.com/uc?export=download&id=1DuogCdMBy4w5O3R-9Gt6IGuvq_2v0F4l, Sunset in Ponchartrain
https://docs.google.com/uc?export=download&id=1hLkqklu2E1kRhQpOJuVx-sJsM5PQu_ol, Chilling in Ponchartrain
https://docs.google.com/uc?export=download&id=1pJTIJeO01fsDGFP6SFWVqkGD5CGiIQiw, Shilloite Ponchartrain
https://docs.google.com/uc?export=download&id=18oXPMWNjiW9Gl2zfVoA-ZIu4RfjtgHAY, Light Streaks 
https://docs.google.com/uc?export=download&id=1X1Y4a6oRY47FiRWmx_2jmk5olH1cJZji, Central Park
https://docs.google.com/uc?export=download&id=1KBxqOi_YKUJaJGNEr-YwncbffCArBhTx, New York
https://docs.google.com/uc?export=download&id=1w9ad5MdElv3Ysr-Yer9ZfwuTWboEQY8H, Shilloite Ponchartrain
https://docs.google.com/uc?export=download&id=1aJH4ts32vhZF18Udm4vQKbsCvjhBjGcr, New York in Black and White
https://docs.google.com/uc?export=download&id=1QvFGJcWcWpE1RkQRu4t4deYTSPeccjJi, Two birds on a lamp
https://docs.google.com/uc?export=download&id=11qWi0J-DjioGYZLZHQSbiuEW13IPohEg, View From the top of Empire State
https://docs.google.com/uc?export=download&id=18_Fe1zZ_ycV5_Ou6t0RBq9IcykqzwxYx, Central Park
https://docs.google.com/uc?export=download&id=13-RYaTV0gBKp3mpWixtnSe6qY7SpmKI4, Central Park
https://docs.google.com/uc?export=download&id=1FKrK4f1BkacE-tZMnUEhYpNJb0sn0Ok_, Brookyln Bridge
https://docs.google.com/uc?export=download&id=1DjuoV3J0v15_VFDFPwGuL3yGt__JAVfU, Anime Vibes
https://docs.google.com/uc?export=download&id=1KEtgNbFpVRJUR4_mUay0U4HIojXCLA5A, New York Skyline
https://docs.google.com/uc?export=download&id=1rT4UWd3vzbYXQ-h3ZU5Pt9Sibfzpciuy, Shilloite Ponchartrain
https://docs.google.com/uc?export=download&id=1wjDLHL_6qyNg_PTVzgPDHX-oT7BhCyrj, University of New Orleans
